"n","B","j","proj_lambda","psi_proj","se_proj_np","lower_proj_np","upper_proj_np","s0","s0.1","s0.2","lambda.min","lambda.min.1","lambda.min.2","se_proj_delta","lower_proj_delta","upper_proj_delta"
500,25,1,0.0523302947472449,1.65410049786185,0.187911255614041,1.28579443685833,2.02240655886537,0.129635223680929,1.40001545944723,1.90818553627647,0.116059985615934,1.42662292605462,1.88157806966908,0.0927605221897968,1.47228987436985,1.83591112135385
500,25,2,0.0344298395703359,1.68467301095235,0.187160093638729,1.31783922742044,2.05150679448426,0.128995322046713,1.43184217974079,1.9375038421639,0.11136022429163,1.46640697134075,1.90293905056394,0.0933289066235049,1.50174835397028,1.86759766793442
500,26,1,0.10272781299833,1.51566116231021,0.243946199146193,1.03752661198367,1.99379571263675,0.155482257379284,1.21091593784681,1.8204063867736,0.14850717230858,1.22458710458539,1.80673522003502,0.0749894914383688,1.368681759091,1.66264056552941
500,26,2,0.0675880412680107,1.51395843517746,0.244028670581115,1.03566224083847,1.99225462951645,0.157208994201318,1.20582880654288,1.82208806381204,0.147631595102074,1.22460050877739,1.80331636157752,0.0750904863060975,1.36678108201751,1.66113578833741
500,27,1,0.062659760775783,1.60201400468476,0.255456401508564,1.10131945772797,2.10270855164155,0.183786487695429,1.24179248880172,1.9622355205678,0.177193413464188,1.25471491429495,1.94931309507457,0.0835680263920136,1.43822067295641,1.76580733641311
500,27,2,0.0412259384634827,1.50907342258867,0.227624624475714,1.06292915861627,1.95521768656107,0.17937171149989,1.15750486804888,1.86064197712845,0.115280137855577,1.28312435239174,1.7350224927856,0.0998105902712844,1.31344466565695,1.70470217952038
500,28,1,0.0421461374590154,1.47378418134597,0.307814022122633,0.870468697985612,2.07709966470633,0.229036951458043,1.02487175648821,1.92269660620374,0.221258905405046,1.04011672675208,1.90745163593986,0.088814906608583,1.29970696439315,1.6478613982988
500,28,2,0.0277293441252712,1.4841509372514,0.307843657688005,0.88077736818291,2.08752450631989,0.229789344122116,1.03376382277205,1.93453805173075,0.218271797955977,1.05633821325768,1.91196366124511,0.0892672988718188,1.30918703146263,1.65911484304016
500,29,1,0.0339942751552673,1.75385319987873,0.302610612079516,1.16073640020288,2.34696999955458,0.225661834847267,1.31155600357808,2.19615039617937,0.211979027035074,1.33837430688998,2.16933209286747,0.0932522613523646,1.57107876762809,1.93662763212936
500,29,2,0.0269398817024868,1.76239574706497,0.305922342364323,1.1627879560309,2.36200353809905,0.230265645010894,1.31107508284362,2.21371641128633,0.217887142224222,1.3353369483055,2.18945454582445,0.0918529959477843,1.58236387500732,1.94242761912263
500,30,1,0.0388266505397739,1.57721991043039,0.27958297069032,1.02923728787737,2.12520253298342,0.22475283000136,1.13670436362773,2.01773545723306,0.22133363376117,1.1434059882585,2.01103383260229,0.101880684506495,1.37753376879766,1.77690605206313
500,30,2,0.025545343392286,1.55960857169864,0.282659003822378,1.00559692420678,2.1136202191905,0.228940773244898,1.11088465613864,2.00833248725864,0.222332858978447,1.12383616810088,1.9953809752964,0.101710588023982,1.36025581917164,1.75896132422564
500,31,1,0.0276345127607009,1.61510186441709,0.378822121294903,0.87261050667908,2.3575932221551,0.285044712279906,1.05641422834847,2.1737895004857,0.0775849308800402,1.46303539989221,1.76716832894197,0.116313609226833,1.3871271903325,1.84307653850168
500,31,2,0.024035089911448,1.62333835676438,0.380402573164115,0.877749313362712,2.36892740016604,0.286817233539799,1.06117657902637,2.18550013450238,0.0331418057937844,1.55838041740856,1.68829629612019,0.115960140282375,1.39605648181092,1.85062023171783
500,32,1,0.025422409692667,1.74242579086347,0.147887714420921,1.45256587059847,2.03228571112848,0.0958940097240896,1.55447353180426,1.93037804992269,0.0917775881283923,1.56254171813182,1.92230986359512,0.104638335894674,1.53733465250991,1.94751692921703
500,33,1,0.0382084251653296,1.90206893280287,0.396801784146773,1.1243374358752,2.67980042973055,0.229859095144064,1.45154510632051,2.35259275928524,0.103814032562082,1.69859342898119,2.10554443662456,0.0907730569404283,1.72415374119964,2.07998412440611
500,33,2,0.0263355853782691,1.86651016087642,0.380075073717495,1.12156301639013,2.61145730536271,0.227935478972113,1.41975662209108,2.31326369966176,0.10453686174476,1.66161791185669,2.07140240989615,0.0929889266156313,1.68425186470979,2.04876845704306
500,34,1,0.0514984234895783,1.71437841199002,0.49526641662749,0.743656235400138,2.6851005885799,0.360144950638504,1.00849430873855,2.42026251524149,0.326371961103044,1.07468936822805,2.35406745575198,0.0938575131088834,1.53041768629661,1.89833913768343
500,34,2,0.0338825238312793,1.70192946493749,0.494124465599077,0.733445512363301,2.67041341751168,0.360958743922586,0.994450326849223,2.40940860302576,0.293721427000385,1.12623546801674,2.27762346185825,0.0944529591142036,1.51680166507365,1.88705726480133
