"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
500,188,1,0.0781381243580224,2488737.32914839,1.74549041562068,0.0912944294041713,1.56655333398851,1.92442749725286
500,189,1,0.0693652945445342,86829.6327411834,1.80967499443789,0.088413177657056,1.63638516623006,1.98296482264572
500,190,1,0.0265196817381306,1384774.56755057,1.76719891469795,0.0923654380884287,1.58616265604463,1.94823517335127
500,191,1,0.0339726619176976,1.06540217688133e+21,1.75960183490721,0.11941531113397,1.52554782508463,1.99365584472979
500,192,1,0.062299916727191,651807.574204011,1.74362565862211,0.0845515164891526,1.57790468630337,1.90934663094085
500,193,1,0.044185500153692,28231227.5484387,1.6484571485011,0.0903697826567518,1.47133237449387,1.82558192250834
500,194,1,0.0582633781765541,20076.5428431463,1.43870975071174,0.0819960416873823,1.27799750900447,1.59942199241901
500,195,1,0.030246219263744,3.23014464208851e+21,1.58548054151417,0.164780073396153,1.26251159765772,1.90844948537063
500,196,1,0.0430788460545169,3774369892.94721,1.63910965109286,0.216226343161529,1.21530601849627,2.06291328368946
500,197,1,0.0461537052814204,133453632.626141,1.59450590519362,0.079613730281731,1.43846299384143,1.75054881654582
500,198,1,0.0470831395631379,11177609.155592,1.65232105641758,0.121133518512932,1.41489936013223,1.88974275270292
500,199,1,0.0254274710336366,3.98646464316602e+23,1.65965220466268,0.0935893575290874,1.47621706390567,1.84308734541969
500,200,1,0.039858484867969,566939841.944041,1.63533814160329,0.0918463463574261,1.45531930274273,1.81535698046384
1000,1,1,0.0370044310982497,220189.598991267,1.67367733708319,0.0772274049069106,1.52231162346564,1.82504305070073
1000,2,1,0.0272590329763768,3435791.05084447,1.78445590509172,0.0727920595791742,1.64178346831654,1.9271283418669
1000,3,1,0.0320915883689702,12079566.3271824,1.50084640772975,0.0593311738723972,1.38455730693986,1.61713550851965
1000,4,1,0.0327523533978053,19582984.5025175,1.84157950353426,0.0620881433662983,1.71988674253631,1.9632722645322
1000,5,1,0.0254535946257099,45560483.7255345,1.72081256043405,0.0729676037099345,1.57779605716258,1.86382906370552
1000,6,1,0.026068695460046,7606428.61267521,1.69487546109335,0.0648489011977354,1.56777161474579,1.82197930744091
1000,7,1,0.0260571129904217,4606203.03884124,1.54602047933932,0.071992381189568,1.40491541220776,1.68712554647087
1000,8,1,0.0259418257644006,6258972.77439622,1.85057046862528,0.0601458972990201,1.7326845099192,1.96845642733136
1000,9,1,0.0254333916344808,34717153.3588562,1.60755137953093,0.0609636464981038,1.48806263239465,1.72704012666721
1000,10,1,0.041458861266543,41734015.710471,1.6700449508285,0.0769885990727408,1.51914729664593,1.82094260501107
1000,11,1,0.0311918308859651,3936470.85036363,1.72845817643085,0.0669184117668521,1.59729808936782,1.85961826349388
1000,12,1,0.0287614837324361,2895763615.59048,1.68290854454564,0.0652194047561863,1.55507851122352,1.81073857786776
1000,13,1,0.0377489241827684,1056389.64368229,1.75322451836315,0.0634072432980233,1.62894632149902,1.87750271522728
1000,14,1,0.0263060510544707,47791280.1479131,1.5965084546637,0.0632418131650865,1.47255450086013,1.72046240846727
1000,15,1,0.0340433872585535,21805797.4450665,1.6503489644108,0.0588555997512329,1.53499198889839,1.76570593992322
1000,16,1,0.0367185819858472,17541454.6221602,1.77507256579213,0.0712766593011833,1.63537031356181,1.91477481802245
1000,17,1,0.0336649300800536,20352457.7906314,1.71246484867214,0.065589586891045,1.58390925836569,1.84102043897859
1000,18,1,0.0253144281321729,5.84907442486948e+38,1.61602481486906,0.0707550328092001,1.47734495056303,1.7547046791751
1000,19,1,0.0396767770605898,946957.206991159,1.90118528523804,0.0673647824697265,1.76915031159738,2.03322025887871
1000,20,1,0.0589930197803833,1233738.39946475,1.53213057130825,0.0679626413117529,1.39892379433721,1.66533734827929
1000,21,1,0.0278891829101563,33832365.0893045,1.51402568355619,0.058295173367133,1.39976714375661,1.62828422335577
1000,22,1,0.0283430809042053,3235017476.24035,1.62167846852651,0.0594172154369754,1.50522072627004,1.73813621078298
1000,23,1,0.02435275605037,23237948.1368026,1.59984339000381,0.0707131738261014,1.46124556930465,1.73844121070297
1000,24,1,0.0248451704978839,5.17427834744949e+23,1.39039858424913,0.0671688497980749,1.2587476386449,1.52204952985336
1000,25,1,0.0256078342287363,1.54066354944061e+21,1.6494310643842,0.0700026013536651,1.51222596573102,1.78663616303738
1000,26,1,0.0260442056915286,3.34077558866959e+23,1.38976137701773,0.0546939510744339,1.28256123291184,1.49696152112362
1000,27,1,0.0368211171121335,634130938.601513,1.5580466001309,0.067262731617712,1.42621164616018,1.68988155410161
1000,28,1,0.0643970633336898,181051.146151516,1.62638966528292,0.0635341546810628,1.50186272210803,1.7509166084578
1000,29,1,0.0260026573177662,205533310.903373,1.37970577794457,0.0644936541200659,1.25329821586924,1.5061133400199
1000,30,1,0.025475042187922,150985256.546996,1.73189727776037,0.0683597157255926,1.59791223493821,1.86588232058254
1000,31,1,0.0263910834025943,59250258.4603182,1.70973405738847,0.0678292830536041,1.57678866260341,1.84267945217354
1000,32,1,0.0369250643939131,67319000.6501822,1.66921218831559,0.109684085567032,1.45423138060421,1.88419299602697
1000,33,1,0.0505830158716686,8.5625264012336e+20,1.54940826406559,0.0598155440558766,1.43216979771607,1.66664673041511
1000,34,1,0.027399105106035,61439809.6890951,1.68737377937069,0.094778239974902,1.50160842901989,1.8731391297215
1000,35,1,0.0245829708864819,34801824.0443089,1.59481284935204,0.0880484966241178,1.42223779596877,1.76738790273531
